nazwa_zmiennej;kraj;wojewodztwo;przedmiot;plec;typ_informacji_z_jednostka_miary;rok;wartosc;flaga;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Łódzkie;Język polski;chłopcy;relacja [%];2019;58;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Łódzkie;Matematyka;ogółem;relacja [%];2019;45;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Łódzkie;Matematyka;dziewczęta;relacja [%];2019;45;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Łódzkie;Matematyka;chłopcy;relacja [%];2019;45;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Łódzkie;Język angielski;ogółem;relacja [%];2019;58;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Łódzkie;Język angielski;dziewczęta;relacja [%];2019;59;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Łódzkie;Język angielski;chłopcy;relacja [%];2019;57;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Łódzkie;Język niemiecki;ogółem;relacja [%];2019;47;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Łódzkie;Język niemiecki;dziewczęta;relacja [%];2019;50;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Łódzkie;Język niemiecki;chłopcy;relacja [%];2019;43;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Łódzkie;Język rosyjski;ogółem;relacja [%];2019;53;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Łódzkie;Język rosyjski;dziewczęta;relacja [%];2019;57;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Łódzkie;Język rosyjski;chłopcy;relacja [%];2019;50;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Łódzkie;Język francuski;ogółem;relacja [%];2019;54;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Łódzkie;Język francuski;dziewczęta;relacja [%];2019;33;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Łódzkie;Język francuski;chłopcy;relacja [%];2019;75;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Łódzkie;Język hiszpański;ogółem;relacja [%];2019;62;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Łódzkie;Język hiszpański;dziewczęta;relacja [%];2019;77;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Łódzkie;Język hiszpański;chłopcy;relacja [%];2019;32;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Łódzkie;Język włoski;ogółem;relacja [%];2019;92;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Łódzkie;Język włoski;dziewczęta;relacja [%];2019;97;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Łódzkie;Język włoski;chłopcy;relacja [%];2019;87;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Małopolskie;Język polski;ogółem;relacja [%];2019;67;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Małopolskie;Język polski;dziewczęta;relacja [%];2019;72;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Małopolskie;Język polski;chłopcy;relacja [%];2019;62;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Małopolskie;Matematyka;ogółem;relacja [%];2019;50;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Małopolskie;Matematyka;dziewczęta;relacja [%];2019;50;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Małopolskie;Matematyka;chłopcy;relacja [%];2019;50;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Małopolskie;Język angielski;ogółem;relacja [%];2019;61;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Małopolskie;Język angielski;dziewczęta;relacja [%];2019;63;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Małopolskie;Język angielski;chłopcy;relacja [%];2019;60;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Małopolskie;Język niemiecki;ogółem;relacja [%];2019;49;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Małopolskie;Język niemiecki;dziewczęta;relacja [%];2019;52;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Małopolskie;Język niemiecki;chłopcy;relacja [%];2019;45;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Małopolskie;Język rosyjski;ogółem;relacja [%];2019;89;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Małopolskie;Język rosyjski;dziewczęta;relacja [%];2019;97;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Małopolskie;Język rosyjski;chłopcy;relacja [%];2019;87;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Małopolskie;Język francuski;ogółem;relacja [%];2019;80;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Małopolskie;Język francuski;dziewczęta;relacja [%];2019;81;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Małopolskie;Język francuski;chłopcy;relacja [%];2019;80;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Małopolskie;Język hiszpański;ogółem;relacja [%];2019;66;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Małopolskie;Język hiszpański;dziewczęta;relacja [%];2019;73;;;;;;;;;;;;;;;;;;;;
